Model,Reducer,Clustering,Params,Silhouette,Davies-Bouldin,DBCV,Num_Clusters
MiniLM,none,HDBSCAN,"{'min_cluster_size': 5, 'min_samples': 1}",0.14,1.939,0.005,2
MiniLM,none,KMeans,{'n_clusters': 3},0.06,3.036,,3
MiniLM,none,KMeans,{'n_clusters': 5},0.045,3.441,,5
MiniLM,none,KMeans,{'n_clusters': 7},0.04,3.354,,7
MiniLM,pca,HDBSCAN,"{'min_cluster_size': 5, 'min_samples': 1}",0.082,1.792,-0.085,2
MiniLM,pca,HDBSCAN,"{'min_cluster_size': 10, 'min_samples': 1}",0.158,1.819,0.006,2
MiniLM,pca,KMeans,{'n_clusters': 3},0.117,2.229,,3
MiniLM,pca,KMeans,{'n_clusters': 5},0.096,2.297,,5
MiniLM,pca,KMeans,{'n_clusters': 7},0.091,2.196,,7
MiniLM,tsne,HDBSCAN,"{'min_cluster_size': 5, 'min_samples': 1}",0.344,0.82,0.122,14
MiniLM,tsne,HDBSCAN,"{'min_cluster_size': 5, 'min_samples': 5}",0.383,0.626,0.126,5
MiniLM,tsne,HDBSCAN,"{'min_cluster_size': 5, 'min_samples': 10}",0.562,0.521,0.199,2
MiniLM,tsne,HDBSCAN,"{'min_cluster_size': 10, 'min_samples': 1}",0.337,0.799,-0.056,7
MiniLM,tsne,HDBSCAN,"{'min_cluster_size': 10, 'min_samples': 5}",0.51,0.719,0.041,2
MiniLM,tsne,HDBSCAN,"{'min_cluster_size': 10, 'min_samples': 10}",0.562,0.521,0.199,2
MiniLM,tsne,HDBSCAN,"{'min_cluster_size': 15, 'min_samples': 1}",0.34,0.913,-0.132,5
MiniLM,tsne,HDBSCAN,"{'min_cluster_size': 15, 'min_samples': 5}",0.51,0.719,0.041,2
MiniLM,tsne,KMeans,{'n_clusters': 3},0.405,0.828,,3
MiniLM,tsne,KMeans,{'n_clusters': 5},0.381,0.823,,5
MiniLM,tsne,KMeans,{'n_clusters': 7},0.37,0.832,,7
MiniLM,umap,HDBSCAN,"{'min_cluster_size': 5, 'min_samples': 1}",0.376,0.965,0.213,15
MiniLM,umap,HDBSCAN,"{'min_cluster_size': 5, 'min_samples': 5}",0.459,0.836,0.278,6
MiniLM,umap,HDBSCAN,"{'min_cluster_size': 5, 'min_samples': 10}",0.5,0.694,0.245,5
MiniLM,umap,HDBSCAN,"{'min_cluster_size': 10, 'min_samples': 1}",0.328,1.111,0.131,9
MiniLM,umap,HDBSCAN,"{'min_cluster_size': 10, 'min_samples': 5}",0.451,0.842,0.304,5
MiniLM,umap,HDBSCAN,"{'min_cluster_size': 10, 'min_samples': 10}",0.405,0.851,0.232,3
MiniLM,umap,HDBSCAN,"{'min_cluster_size': 15, 'min_samples': 1}",0.253,1.366,0.181,6
MiniLM,umap,HDBSCAN,"{'min_cluster_size': 15, 'min_samples': 5}",0.48,0.82,0.302,4
MiniLM,umap,HDBSCAN,"{'min_cluster_size': 15, 'min_samples': 10}",0.441,0.94,0.213,2
MiniLM,umap,KMeans,{'n_clusters': 3},0.315,1.135,,3
MiniLM,umap,KMeans,{'n_clusters': 5},0.333,1.089,,5
MiniLM,umap,KMeans,{'n_clusters': 7},0.324,1.052,,7
DistilUSE,none,HDBSCAN,"{'min_cluster_size': 5, 'min_samples': 1}",0.11,1.777,0.015,2
DistilUSE,none,KMeans,{'n_clusters': 3},0.102,2.402,,3
DistilUSE,none,KMeans,{'n_clusters': 5},0.1,2.347,,5
DistilUSE,none,KMeans,{'n_clusters': 7},0.071,2.345,,7
DistilUSE,pca,HDBSCAN,"{'min_cluster_size': 5, 'min_samples': 1}",0.169,1.404,0.045,2
DistilUSE,pca,HDBSCAN,"{'min_cluster_size': 10, 'min_samples': 1}",0.164,1.839,-0.01,2
DistilUSE,pca,KMeans,{'n_clusters': 3},0.151,1.95,,3
DistilUSE,pca,KMeans,{'n_clusters': 5},0.152,1.833,,5
DistilUSE,pca,KMeans,{'n_clusters': 7},0.13,1.903,,7
DistilUSE,tsne,HDBSCAN,"{'min_cluster_size': 5, 'min_samples': 1}",0.384,0.812,0.157,11
DistilUSE,tsne,HDBSCAN,"{'min_cluster_size': 5, 'min_samples': 5}",0.366,0.589,0.278,3
DistilUSE,tsne,HDBSCAN,"{'min_cluster_size': 5, 'min_samples': 10}",0.323,0.744,0.104,2
DistilUSE,tsne,HDBSCAN,"{'min_cluster_size': 10, 'min_samples': 1}",0.295,0.731,-0.054,3
DistilUSE,tsne,HDBSCAN,"{'min_cluster_size': 10, 'min_samples': 5}",0.366,0.589,0.278,3
DistilUSE,tsne,HDBSCAN,"{'min_cluster_size': 10, 'min_samples': 10}",0.323,0.744,0.104,2
DistilUSE,tsne,HDBSCAN,"{'min_cluster_size': 15, 'min_samples': 1}",0.368,0.766,-0.081,5
DistilUSE,tsne,HDBSCAN,"{'min_cluster_size': 15, 'min_samples': 5}",0.329,0.737,0.347,2
DistilUSE,tsne,HDBSCAN,"{'min_cluster_size': 15, 'min_samples': 10}",0.323,0.744,0.104,2
DistilUSE,tsne,KMeans,{'n_clusters': 3},0.375,0.896,,3
DistilUSE,tsne,KMeans,{'n_clusters': 5},0.386,0.846,,5
DistilUSE,tsne,KMeans,{'n_clusters': 7},0.381,0.818,,7
DistilUSE,umap,HDBSCAN,"{'min_cluster_size': 5, 'min_samples': 1}",0.611,0.378,0.732,2
DistilUSE,umap,HDBSCAN,"{'min_cluster_size': 5, 'min_samples': 5}",0.611,0.378,0.732,2
DistilUSE,umap,HDBSCAN,"{'min_cluster_size': 5, 'min_samples': 10}",0.611,0.378,0.732,2
DistilUSE,umap,HDBSCAN,"{'min_cluster_size': 10, 'min_samples': 1}",0.611,0.378,0.732,2
DistilUSE,umap,HDBSCAN,"{'min_cluster_size': 10, 'min_samples': 5}",0.611,0.378,0.732,2
DistilUSE,umap,HDBSCAN,"{'min_cluster_size': 10, 'min_samples': 10}",0.611,0.378,0.732,2
DistilUSE,umap,HDBSCAN,"{'min_cluster_size': 15, 'min_samples': 1}",0.611,0.378,0.732,2
DistilUSE,umap,HDBSCAN,"{'min_cluster_size': 15, 'min_samples': 5}",0.611,0.378,0.732,2
DistilUSE,umap,HDBSCAN,"{'min_cluster_size': 15, 'min_samples': 10}",0.611,0.378,0.732,2
DistilUSE,umap,KMeans,{'n_clusters': 3},0.408,0.939,,3
DistilUSE,umap,KMeans,{'n_clusters': 5},0.449,0.798,,5
DistilUSE,umap,KMeans,{'n_clusters': 7},0.407,0.99,,7
XLM-R,none,HDBSCAN,"{'min_cluster_size': 5, 'min_samples': 1}",0.026,2.295,0.011,6
XLM-R,none,HDBSCAN,"{'min_cluster_size': 5, 'min_samples': 5}",0.071,2.163,0.007,2
XLM-R,none,HDBSCAN,"{'min_cluster_size': 5, 'min_samples': 10}",0.096,1.999,0.003,2
XLM-R,none,HDBSCAN,"{'min_cluster_size': 10, 'min_samples': 1}",0.065,2.969,0.007,2
XLM-R,none,HDBSCAN,"{'min_cluster_size': 15, 'min_samples': 1}",0.065,2.969,0.007,2
XLM-R,none,KMeans,{'n_clusters': 3},0.05,3.713,,3
XLM-R,none,KMeans,{'n_clusters': 5},0.046,3.376,,5
XLM-R,none,KMeans,{'n_clusters': 7},0.043,3.309,,7
XLM-R,pca,HDBSCAN,"{'min_cluster_size': 5, 'min_samples': 1}",0.101,1.932,-0.143,2
XLM-R,pca,HDBSCAN,"{'min_cluster_size': 10, 'min_samples': 1}",0.101,1.932,-0.143,2
XLM-R,pca,HDBSCAN,"{'min_cluster_size': 15, 'min_samples': 1}",0.141,2.117,-0.106,2
XLM-R,pca,KMeans,{'n_clusters': 3},0.087,2.75,,3
XLM-R,pca,KMeans,{'n_clusters': 5},0.091,2.33,,5
XLM-R,pca,KMeans,{'n_clusters': 7},0.094,2.157,,7
XLM-R,tsne,HDBSCAN,"{'min_cluster_size': 5, 'min_samples': 1}",0.345,0.813,0.098,12
XLM-R,tsne,HDBSCAN,"{'min_cluster_size': 5, 'min_samples': 5}",0.487,0.603,0.147,6
XLM-R,tsne,HDBSCAN,"{'min_cluster_size': 5, 'min_samples': 10}",0.25,0.725,0.107,2
XLM-R,tsne,HDBSCAN,"{'min_cluster_size': 10, 'min_samples': 1}",0.395,0.787,0.095,8
XLM-R,tsne,HDBSCAN,"{'min_cluster_size': 10, 'min_samples': 5}",0.444,0.696,0.038,2
XLM-R,tsne,HDBSCAN,"{'min_cluster_size': 15, 'min_samples': 1}",0.363,0.786,-0.067,2
XLM-R,tsne,HDBSCAN,"{'min_cluster_size': 15, 'min_samples': 5}",0.444,0.696,0.038,2
XLM-R,tsne,KMeans,{'n_clusters': 3},0.367,0.906,,3
XLM-R,tsne,KMeans,{'n_clusters': 5},0.373,0.811,,5
XLM-R,tsne,KMeans,{'n_clusters': 7},0.359,0.836,,7
XLM-R,umap,HDBSCAN,"{'min_cluster_size': 5, 'min_samples': 1}",0.377,0.942,0.325,16
XLM-R,umap,HDBSCAN,"{'min_cluster_size': 5, 'min_samples': 5}",0.151,1.077,0.418,2
XLM-R,umap,HDBSCAN,"{'min_cluster_size': 5, 'min_samples': 10}",0.467,0.739,0.289,5
XLM-R,umap,HDBSCAN,"{'min_cluster_size': 10, 'min_samples': 1}",0.197,1.424,0.266,5
XLM-R,umap,HDBSCAN,"{'min_cluster_size': 10, 'min_samples': 5}",0.151,1.077,0.418,2
XLM-R,umap,HDBSCAN,"{'min_cluster_size': 10, 'min_samples': 10}",0.467,0.739,0.289,5
XLM-R,umap,HDBSCAN,"{'min_cluster_size': 15, 'min_samples': 1}",0.218,1.526,0.201,3
